Median Household Income-Number; NaturalBreaks
Data downloaded on 28-October-2025
County_FIPS,County,State,Obesity-2014-Percentage,Median Household Income-2022 & 2018-2022-Number
20145,Pawnee County,Kansas,25.5,47939
08055,Huerfano County,Colorado,23.6,47968
48443,Terrell County,Texas,28,47969
26035,Clare County,Michigan,30.5,47973
30089,Sanders County,Montana,27,47976
05101,Newton County,Arkansas,25.9,47996
22111,Union Parish,Louisiana,25.8,48003
13293,Upson County,Georgia,28.5,48061
37095,Hyde County,North Carolina,24.2,48068
54053,Mason County,West Virginia,31.8,48077
13049,Charlton County,Georgia,31.4,48147
29143,New Madrid County,Missouri,27.8,48162
48025,Bee County,Texas,26.9,48176
21177,Muhlenberg County,Kentucky,31.9,48190
37193,Wilkes County,North Carolina,24.5,48229
22101,St. Mary Parish,Louisiana,31.3,48242
13299,Ware County,Georgia,30.1,48245
05047,Franklin County,Arkansas,28.2,48248
48249,Jim Wells County,Texas,30,48252
21011,Bath County,Kentucky,27.7,48260
39009,Athens County,Ohio,26.6,48265
37007,Anson County,North Carolina,27.7,48284
21043,Carter County,Kentucky,37.3,48285
05037,Cross County,Arkansas,26.8,48299
05079,Lincoln County,Arkansas,27.5,48311
47181,Wayne County,Tennessee,26.7,48321
35057,Torrance County,New Mexico,27.7,48322
13209,Montgomery County,Georgia,29.2,48356
51185,Tazewell County,Virginia,28.6,48360
48335,Mitchell County,Texas,29,48378
29227,Worth County,Missouri,24.6,48397
48463,Uvalde County,Texas,29.7,48427
30053,Lincoln County,Montana,27.3,48432
40069,Johnston County,Oklahoma,30.3,48452
29079,Grundy County,Missouri,29.1,48457
13303,Washington County,Georgia,26.2,48462
35055,Taos County,New Mexico,20.8,48462
39145,Scioto County,Ohio,35,48465
12123,Taylor County,Florida,34.2,48482
05083,Logan County,Arkansas,30.8,48510
13021,Bibb County,Georgia,33.5,48539
35059,Union County,New Mexico,24.8,48545
26085,Lake County,Michigan,24.3,48545
13131,Grady County,Georgia,27.9,48548
54103,Wetzel County,West Virginia,29.3,48563
12049,Hardee County,Florida,32.4,48572
05005,Baxter County,Arkansas,30.3,48573
29187,St. Francois County,Missouri,28.4,48574
48207,Haskell County,Texas,28,48587
28085,Lincoln County,Mississippi,34.7,48596
05043,Drew County,Arkansas,27,48635
05091,Miller County,Arkansas,28.7,48652
54019,Fayette County,West Virginia,33.1,48710
30085,Roosevelt County,Montana,35.7,48712
13019,Berrien County,Georgia,27.6,48725
20167,Russell County,Kansas,26.4,48754
29175,Randolph County,Missouri,31.1,48762
37065,Edgecombe County,North Carolina,34.5,48770
13289,Twiggs County,Georgia,28.5,48772
13069,Coffee County,Georgia,32.2,48792
48115,Dawson County,Texas,29.1,48801
48215,Hidalgo County,Texas,35.7,48825
08099,Prowers County,Colorado,26.6,48832
21057,Cumberland County,Kentucky,24.6,48864
05081,Little River County,Arkansas,25.3,48883
47019,Carter County,Tennessee,28.4,48912
40035,Craig County,Oklahoma,23.8,48922
13321,Worth County,Georgia,28.1,48956
30069,Petroleum County,Montana,24.4,48991
21161,Mason County,Kentucky,25.7,49029
48023,Baylor County,Texas,25.4,49059
39001,Adams County,Ohio,26.6,49068
51025,Brunswick County,Virginia,30.9,49080
08071,Las Animas County,Colorado,25.5,49097
17055,Franklin County,Illinois,27.9,49108
30003,Big Horn County,Montana,35,49113
08021,Conejos County,Colorado,26,49141
26143,Roscommon County,Michigan,32,49151
46007,Bennett County,South Dakota,32.6,49152
01041,Crenshaw County,Alabama,28.5,49161
48075,Childress County,Texas,27.7,49200
01057,Fayette County,Alabama,28.8,49205
13071,Colquitt County,Georgia,30.8,49214
