sim_i,pair_indx,true_diff,e_vij,ARDP_vij,analysis_time,ARDP_time
1,85,FALSE,0.48915,0.1315,1.559,119.413
1,86,TRUE,0.6389,0.1523,1.559,119.413
1,87,TRUE,0.44735,0.1731,1.559,119.413
1,88,FALSE,0.71245,0.1478,1.559,119.413
1,89,FALSE,0.36105,0.1379,1.559,119.413
1,90,TRUE,0.80745,0.1508,1.559,119.413
1,91,TRUE,0.3235,0.1867,1.559,119.413
1,92,FALSE,0.749,0.1467,1.559,119.413
1,93,TRUE,0.71275,0.1474,1.559,119.413
1,94,TRUE,0.77425,0.1957,1.559,119.413
1,95,TRUE,0.7348,0.1697,1.559,119.413
1,96,TRUE,0.74325,0.1404,1.559,119.413
1,97,TRUE,0.69935,0.1351,1.559,119.413
1,98,TRUE,0.317,0.1401,1.559,119.413
1,99,TRUE,0.5605,0.1799,1.559,119.413
1,100,TRUE,0.38605,0.1634,1.559,119.413
1,101,FALSE,0.325,0.1763,1.559,119.413
1,102,FALSE,0.3701,0.1471,1.559,119.413
1,103,TRUE,0.31365,0.1706,1.559,119.413
1,104,TRUE,0.60255,0.1874,1.559,119.413
1,105,TRUE,0.5944,0.2168,1.559,119.413
1,106,TRUE,0.7093,0.2509,1.559,119.413
1,107,FALSE,0.32705,0.1791,1.559,119.413
1,108,TRUE,0.82895,0.256,1.559,119.413
1,109,TRUE,0.43995,0.1645,1.559,119.413
1,110,TRUE,0.3763,0.159,1.559,119.413
1,111,TRUE,0.76775,0.1592,1.559,119.413
1,112,TRUE,0.35315,0.1251,1.559,119.413
1,113,FALSE,0.4634,0.1686,1.559,119.413
1,114,TRUE,0.475,0.1476,1.559,119.413
1,115,TRUE,0.7866,0.1535,1.559,119.413
1,116,TRUE,0.71865,0.2082,1.559,119.413
1,117,TRUE,0.3292,0.1737,1.559,119.413
1,118,TRUE,0.5199,0.1407,1.559,119.413
1,119,FALSE,0.55735,0.2048,1.559,119.413
1,120,TRUE,0.83365,0.2172,1.559,119.413
1,121,TRUE,0.6468,0.1622,1.559,119.413
1,122,TRUE,0.50895,0.1534,1.559,119.413
1,123,TRUE,0.69015,0.2303,1.559,119.413
1,124,TRUE,0.69,0.2296,1.559,119.413
1,125,FALSE,0.45675,0.1561,1.559,119.413
1,126,FALSE,0.36045,0.1762,1.559,119.413
1,127,TRUE,0.3421,0.1868,1.559,119.413
1,128,TRUE,0.65945,0.1986,1.559,119.413
1,129,FALSE,0.53955,0.1445,1.559,119.413
1,130,FALSE,0.6585,0.191300000000001,1.559,119.413
1,131,TRUE,0.4998,0.201299999999999,1.559,119.413
1,132,TRUE,0.77295,0.209599999999999,1.559,119.413
1,133,TRUE,0.8525,0.2352,1.559,119.413
1,134,TRUE,0.53295,0.2155,1.559,119.413
1,135,TRUE,0.61485,0.2007,1.559,119.413
1,136,TRUE,0.76175,0.1775,1.559,119.413
1,137,FALSE,0.335,0.1745,1.559,119.413
1,138,FALSE,0.32115,0.1396,1.559,119.413
1,139,FALSE,0.3184,0.156,1.559,119.413
